url,appId,title,summary,developer,icon,score,price,free
https://play.google.com/store/apps/details?id=slots.blutogames.dresdengreendiamond,slots.blutogames.dresdengreendiamond,Dresden Green Diamond Slots,★★★★★PLAY & WIN DAZZLING JACKPOTS WITH DRESDEN GREEN DIAMOND SLOTS★★★★★,Bluto Games,//lh3.googleusercontent.com/YIW68mzkD49oMjI0qnDG8rkUGRFq-rs7tOJnv-zCJTyvRYLuajqO6jUK-oyBsjNbOA=w340,4.2,0,true
https://play.google.com/store/apps/details?id=com.smart.and,com.smart.and,"Smart Medical-Labs, Drug, Calc","Lab Values, Drugs, Tests, Calculators, Spanish Dictionary and Terminology",Imago LLC,//lh5.ggpht.com/3bikeaMvuOCzcfsv4-CMYepZhiZqb1R6HRcLdqPcFw3mSIm3x7p7dWbudbzjA5OsfW0=w340,4.2,0,true
https://play.google.com/store/apps/details?id=com.joynow.runingman,com.joynow.runingman,Ninja Parkour：Zombie Revenge,"Get into Ninja's world like naruto, Defeat zombie revenge and enjoy Parkour.",JOYNOWSTUDIO,//lh3.googleusercontent.com/hW_7jMfyMwl32HEMnRdDjmmSDouAQy_hXhJmObAgQJqMQ_fd3rEH5lCjWmzXhfQPpw39=w340,4.1,0,true
https://play.google.com/store/apps/details?id=pl.moveapp.efood,pl.moveapp.efood,e-food,Mobile guide of what you eat.,Establishment Sp. z o.o.,//lh3.googleusercontent.com/AhEbreA_ASa3sxcAUkDV5iwPRwHr_dsimcihnBvGO8zGFSzDMpfhG1QJGfVjJ-cAZEE=w340,4.1,0,true
https://play.google.com/store/apps/details?id=com.botxgames.trader.a,com.botxgames.trader.a,The Trader,The Trader is a strategy game where you make fortune by buying & selling goods.,Sappalodapps.,//lh3.googleusercontent.com/WdGXQEPxm6ppmfqY4EV0jtE6TweNexWUpazzWfsbn6YRD2WfRCDW-p4e2NRxjAZU5Ns=w340,3.6,0,true
https://play.google.com/store/apps/details?id=com.SeaShellLiveWallpaperHQ,com.SeaShellLiveWallpaperHQ,Sea Shell Live Wallpaper,"Sea Shell Live Wallpaper – background images of sandy beach, ocean and seashells",Live Wallpaper HQ,//lh3.ggpht.com/zHVGLzX7qrIomJDsUsbV5hafrYglYjfQ4bcp7khSZc7L7PfUP_aydU4Rq07hTYbJj9M=w340,4,0,true
https://play.google.com/store/apps/details?id=com.max.firstaid,com.max.firstaid,First Aid,U.S. Military First Aid Manual 21-11,SusaSoftX,//lh3.ggpht.com/3rwe1Gm_yBTVyfLD0kwKG3vj1JxcPtrvXZq1_3BQoPTXDdn9hi2eCRi1DvlOpncGLHg=w340,4.2,0,true
https://play.google.com/store/apps/details?id=net.duiker101.imgurbrowser,net.duiker101.imgurbrowser,Imgr Gallery,All the best images from Imgur in your pocket!!,Duiker101,//lh4.ggpht.com/aj0p0NNU1STizx7gWSHZuljzfoAUZIrP6jo4rkBJpvF15zHm4KyLOAgWmMk4q93yKE6H=w340,4.2,0,true
https://play.google.com/store/apps/details?id=com.reachout,com.reachout,Reachout: My Social Support,Reach thousands of users for support. Don't fight chronic diseases alone.,"The Modi Group, Inc.",//lh3.googleusercontent.com/B_dDtOZQanY0PMAs45yujYzWbkPl7znShQTzitO960lGv2aBCKQN7wx1E-mMibyHmeY=w340,4.2,0,true
https://play.google.com/store/apps/details?id=com.game.frontline.sniper.shot.kill,com.game.frontline.sniper.shot.kill,Shoot Dead Sniper Combat Squad,"hold breath, pull trigger & complete your insane mission with stealth head shot",Gulf Games Studios,//lh3.googleusercontent.com/vOtGX7wjn9O4XJzrNFVVjD6l76biWBxginYpQjSweUDQhCv9I8BQ7AvV5xCYItds_ag=w340,3.8,0,true
